title,company_name,city,seniority_level,salary_min,salary_max
Data Analyst (M/W/D) Procurement,KNDS,Kassel,Middle or undefined,,
Data Analyst (m/w/d),SPORT 2000 International GmbH,Offenbach am Main,Middle or undefined,,
Data Analyst,Zenjob SE,Berlin,Middle or undefined,,
Data Analyst (M/W/D) Procurement,KNDS Deutschland,Bad Wilhelmshöhe,Middle or undefined,,
Data Analyst (M/W/D) Procurement,KNDS Deutschland,Berlin,Middle or undefined,,
Data Analyst (M/W/D) Procurement,KNDS Deutschland,Fasanenhof,Middle or undefined,,
Data Analyst (M/W/D) Procurement,KNDS Deutschland,Niederzwehren,Middle or undefined,,
Data Analyst (M/W/D) Procurement,KNDS Deutschland,Bettenhausen,Middle or undefined,,
Data Analyst (M/W/D) Procurement,KNDS Deutschland,Harleshausen,Middle or undefined,,
Data Analyst (M/W/D) Procurement,KNDS Deutschland,Am Sandkopf,Middle or undefined,,
Senior Data Analyst - Defense Metaverse and Sensor Analytics (m/w/d),21strategies GmbH,Hallbergmoos,Senior,,
Senior Data Analyst - Defense Metaverse and Sensor Analytics (m/w/d),21strategies GmbH,Hallbergmoos,Senior,,
Data Analyst (w/m/d),KIND GmbH & Co. KG,Burgdorf,Middle or undefined,,
Data Analyst (w/m/d),KIND GmbH & Co. KG,Hannover,Middle or undefined,,
Data Analyst (w/m/d),KIND GmbH & Co. KG,Burgwedel,Middle or undefined,,
Data Analyst (w/m/d),KIND GmbH & Co. KG,Celle,Middle or undefined,,
Data Analyst (w/m/d),KIND GmbH & Co. KG,Wedemark,Middle or undefined,,
Strategischer Data Analyst - Asset Management / Freileitung (m/w/d),50Hertz Transmission GmbH,Berlin,Senior,,
Marketing Data Analyst (w/m/d),KIND GmbH & Co. KG,Wedemark,Middle or undefined,,
Marketing Data Analyst (w/m/d),KIND GmbH & Co. KG,Burgwedel,Middle or undefined,,
Marketing Data Analyst (w/m/d),KIND GmbH & Co. KG,Celle,Middle or undefined,,
Marketing Data Analyst (w/m/d),KIND GmbH & Co. KG,Burgdorf,Middle or undefined,,
Marketing Data Analyst (w/m/d),KIND GmbH & Co. KG,Hannover,Middle or undefined,,
